"id","title","description","image"
1,"Gibson","Orville Gibson begyndte med at lave mandoliner i 1884 i Kalamazoo, Michigan, USA. I 1902 blev Gibson Mandolin-Guitar Mfg. Co, Ltd grundlagt for at markedsføre disse instrumenter. 

I 1919 ansætter Gibson en ung lovende instrument mager og musiker som hed Lloyd Loar. Loar sætter en bølge af produkt udvikling i gang der blandt andet fører til en række nyskabelser indenfor banjo, mandolin og guitar design. Bl.a. lanceres i 1922 den berømte Gibson F5 mandolin og Loar opfinder den moderne jazz guitar ved at give den F-huller og forlænger samtidigt halsen således at broen rykkes tættere på midten af guitaren, hvilket giver guitaren væsentligt mere volumen og tone. Dette fører til at Gibson bliver den førende producent af jazz guitarer i USA. 
I 1930'erne forsker Gibson i electrificeringen af guitaren, hvilket fører til Gibsons første elektriske guitar, som lanceres i 1936 under navnet ES-150. Og det er endvidere i 30'erne at Gibsons J-45 og J-200 western guitarer introduceres Gibson stopper stort set produktionen under anden verdenskrig på grund af mangel på træ og metal til at bygge guitarer af, men i 1948 ansætter Gibson, Ted McCarty, hvilket bliver starten på Gibsons mest fremgangsrige periode. Under McCartys ledelse udvikler Gibson alle de instrumenter som i dag er grundstammen i Gibsons udvalg og som i mange tilfælde er gået hen og blevet både legendariske og myte omspundne. Det er bl.a. i denne periode at Les Paul modellen lanceres, enda i den form som vi stadig kender idag, nemlig Standard, Custom, Junior og Special modellen. I 1957 opfinder Gibson den moderne humbucker pickup som vi stadig kender som PAF (""Patent Applied For"") modellen, året efter se den første ES-335 dagens lys og samme år lanceres både Flying V og Explorer modellen. I 1960 kommer de første Gibson Hummingbirds på markedet og i 1961 kommer den berømte Gibson SG. 

I 1974 overtages Gibson af Norlin Musical Instruments hvilket fører til et årti med tilbage gang hvilket resulterer i at Gibson står på randen af konkurs i 1986. Dog lykkedes det Norlin at sælge Gibson til 3 amerikansk/britiske forretnings mænd, nemlig Henry E. Juszkiewicz, David H. Berryman og Gary A. Zebrowski, hvilket bliver Gibsons redning og starten på en ny guldalder for Gibson. Gibson Guitar Corporation er i dag en af verdens mest kendte fabrikanter af guitarer. som, udover Gibson også omfatter Epiphone, Kramer. og Garrison.

","gibson.png"
2,"Fender","Fender Musical Instruments Corporation (tidligere Fender Electric Instrument Company) blev grundlagt af Clarence ""Leo"" Fender i 1946. I 1954 blev el-guitaren Stratocaster introduceret og er siden blevet et varemærke for Fender... Hey","fender.png"
3,"Epiphone","En westernguitar er en akustisk guitar med stålstrenge og en lidt større krop end en klassisk guitar. Westernguitarer fås i mange forskellige versioner, men uanset om du er begynder eller øvet, så har vi en westernguitar til dig. Der findes mange forskellige typer af westernguitarer men primært så adskiller de sig ved om de har indbygget mikrofon, kvaliteten og lyden af det træ de er lavet af og kropstypen. Søger man en god western-guitar skal man først og fremmest tage stilling til om den skal have mikrofon indbygget derudover er det også vigtigt at vurdere klangen af western-guitaren, de bedste western-guitarer har altid et dæk af massivt træ men der findes også gode western-guitarer med finer dæk til fornuftige priser. Langt den mest mest udbredte western-guitar type er Dreadnought som egner sig til stort set alle typer af musik og derfor også er den de fleste starter med.","epiphone.png"
4,"Squier","Squier er det navn, Fender bruger til guitarer og basser, der bliver fremstillet på fabrikker ikke direkte ejet af Fender selv. Squier var oprindelig en amerikansk baseret strengefabrikant, som Fender købte i 1965. Fender gemte dog navnet til 1982, da man lancerede en serie af billigere versioner af firmaets mange ikon-instrumenter. Nogle af disse japansk fremstillede guitarer er siden blevet samlerobjekter. 
  
Squier er i dag et af verdens mest udbredte guitarmærker, hvilket tydeligt afspejles i det store udvalg, 4Sound har. Squier fremstiller Stratocaster, Telecaster, Jazz Bass, Precision Bass samt en lang række spændende signatur-modeller, der er overordentligt velbyggede og vellydende. Og hvem andre skulle ellers kunne lave gode billige Fender-instrumenter end Fender selv?

","squier.png"
5,"Martin","Det er umuligt at komme uden om Martin, når det drejer sig om stålstrengs guitarer. For det første ville der slet ikke findes guitarer, som vi kender dem, hvis det ikke havde været for Martin. Det gamle firma har på egen hånd skabt mange af de features, vi idag tager for givet på en hvilken som helst guitar - fx. dreadnought-formen og X-brace-afstivning af dækket. Ingen anden producent har i den grad præget instrumentets udvikling, og det faktum at Martin stadig er familie-ejet og med introduktionen af nye, banebrydende modeller bliver ved med at udfordre vores forstilling om, hvad en akustisk guitar er, er intet mindre end imponerende. Dernæst er håndværket altid i top; i de seneste år har Martin lanceret nogle billigere modeller, men de er aldrig gået på kompromis med kvaliteten, og på nær X-serien, laves alle modeller fortsat på deres fabrik i Pennsylvania.","martin.png"
6,"Taylor","Taylor guitarer er baseret i El Cajon, Californien, og har været banebrydende for nogle af de mest succesfulde nyskabelser i akustisk guitar fremstilling i de seneste tre årtier. Etableret i 1974, steget Taylor hurtigt fra en mands drøm om at blive bedst sælgende akustiske guitar brand i Nordamerika.

Bredt udbud af kroppen størrelser og tone skoven i området fra Gear4music.com sikrer, at der er en Taylor guitar for hver spiller. Kendt for fremragende spilleegenskaber og rig, afbalanceret toner, hver guitar i linjen Taylor op kunne anses leader i sin kategori.","taylor.png"
7,"Yamaha","Yamaha er et af de største navne indenfor den moderne akustiske guitarverden. Med over 40 års erfaring, bliver Yamaha akustiske guitarer rost for deres balance mellem det traditionelle og det allernyeste. Med brugere som Bob Dylan og Jeff Beck, har Yamaha akustiske guitarer vist sig at være et levedygtigt alternativ på det akustiske guitarmarked.","yamaha.png"
8,"Ibanez","Ibanez er en af de første Japanske guitarproducenter, som for alvor fik tag i det amerikanske og europæiske guitarmarked. Ibanez guitarer og basser laves af Hoshino som også er kendt for de populære Tama Trommesæt. Hoshino imorterede og solgte i starten af 1930'erne, spanske guitarer af mærket Salvador Ibanez. Da Ibanez fabriken blev ødelagt under den spanske borgerkrig, beslutede Hoshino at købe retten til Ibanez navnet og begyndte i 1935 selv at producere guitarer under dette navn. I 1960'erne begyndte Ibanez at producere billige kopier af Fender, Gibson og Rickenbacker guitarer hvilket førte til den såkaldte ""lawsuit"" periode, dette førte til at Ibanez blev tvunget til at udvikle deres egne modeller bl.a. den berømte Iceman og de populære Ibanez Roadstar guitarer. I slutningen af 80'erne indgår Ibanez i et samarbejde med Steve Vai, hvilket fører til lanceringen af JEM og Universe guitarerne, dette bliver en stor succes for Ibanez som efterfølgende lancerer RG serien som et billigere alternativ til JEM modellerne. Ibanez er i dag det førende Japanske guitarmærke, at de er nået så vidt skyldes i høj grad at de har forstået at indrage nogle af verdenens førende og mest progressive guitarister og bassister i udviklingen af nye guitarer. Musikere som Joe Satriani, Steve Vai, John Petrucci, Pat Metheny, Joe Pass, Gary Willis, George Benson, Frank Gambale, Steve Lukather og mange flere har igennem tiden haft en aktiv indflydelse på Ibanez og de instrumenter de fremstiller.","ibanez.png"
9,"Supreme","",NULL
10,"Everdeen","",NULL
