"id","item_number","title","slug","description_short","description_long","image","price","offerprice","stock","brand_id","is_active","created_at","updated_at"
1,551104,"Les Paul Deluxe Player Plus Satin Vintage Sunburst","les_paul_deluxe_player_plus_satin_vintage_sunburst","El-guitar med mahognikrop, AA ahorntop, mahognihals med gribebræt af richlite, hvide bindinger og 2 x Mini Humbuckers. Inkl. Hardshell case.","El-guitar med mahognikrop, AA ahorntop, mahognihals med gribebræt af richlite, hvide bindinger og 2 x Mini Humbuckers. Inkl. Hardshell case.
Gibson's 2018 modeller leveres med ""cryogenically treated frets"", hvor alle bånd behandles ved meget lave temperaturer (lavere end -185 ℃) for at modstå mere slid end normalt. De føles nøjagtigt som traditionelle bånd, men tåler meget mere. Modellerne, der ikke inkluderer guitarkasse, leveres i en polstret blød taske, der erstatter tidligere gigbag-design. HP-modellerne har opgraderede og hurtigere G-FORCE systemer, og Gibson 2018 præsenterer også helt nye farver som Cobalt Burst, Mojave Burst, Blood Orange Burst og Autumn Shade. 

Specifikationer
Krop: Mahogni
Top: AA ahorn
Hvide bindinger
Hals: mahogni
Halsprofil: Rounded
Sadelbredde: 1.695""
Gribebræt: Richlite
Skalalængde: 24.75""
Antal bånd: 22
Sadel: Tektoid
Indlæg i gribebræt: Acrylic Traps
Stol: Tune-O-Matic med Titanium Saddles
Tailpiece: Stop Bar
Knapper: Black Tophats w/ Silver Inserts
Stemmeskruer: Kidneys
Hardware finish: Krom
Pickupper: 2 x Mini Humbuckers
Kontroller: 2 x volume, 2 x tone, 3-vejs pickupswitch
Inkl. Hardshell case","les-paul-deluxe-player-plus-satin-vintage-sunburst.jpeg",23399,0,2,1,1,"2023-10-17 07:38:54","2023-10-17 07:38:54"
2,530721,"ES-335 Satin 2018 Walnut","es-335_satin_2018_walnut","El-guitar Semi-hollowbody model med krop af ahorn/poppel/ahorn, mahognihals med Rosewood gribebræt og Burstbucker pickupper. Inkl. kasse.","El-guitar Semi-hollowbody model med krop af ahorn/poppel/ahorn, mahognihals med Rosewood gribebræt og Burstbucker pickupper. Inkl. kasse.
Limited Release-model med samme udseende og byggekvalitet som ES-335 Traditional, men i Satin finish. Klassiske Gibson-egenskaber som mahognihals, gribebræt af Rosewood og centerblok af ahorn. ABR-1 bro med titansadler, Grover 102 Rotomatic-stemmeskruer, MTC Control Assembly og Burstbucker 1 & 2 pickupper.

Specifikationer
Krop: 3-lag ahorn/poppel/ahorn
Centerblok: Ahorn
Bracing: Gran
Binding: Single-ply cream
Hals: Quarter-sawn mahogni
Halsprofil: Rounded “C”, Rolled Binding
Gribebræt: Rosewood
Indlæg: Pearloid Small Block
Oversadel: Ben
Oversadelbredde: 1.687”
Skalalængde: 24.75”
Antal bånd: 22
Hardware: Satin nickel
Bro: ABR-1 med titansadler
Stemmeskruer: Grover 102 Rotomatics
Pickupper: Burstbucker 1 (hals) og Burstbucker 2 (bridge)
Inkl. Hardshell Case","es-335-satin-2018-walnut.jpeg",19199,0,4,1,1,"2023-10-17 07:38:54","2023-10-17 07:38:54"
3,530737,"ES-275 Custom 2018 | Ebony","es-275_custom_2018_|_ebony","El-guitar Hollowbody model med top, sider og bund af 3-lags flammet ahorn/poppel, mahognihals med gribebræt af mørk Rosewood og MHS Humbucker pickupper. Inkl. kasse.","El-guitar Hollowbody model med top, sider og bund af 3-lags flammet ahorn/poppel, mahognihals med gribebræt af mørk Rosewood og MHS Humbucker pickupper. Inkl. kasse.
ES-275 Custom 2018 i Sunset Burst finish er en klassisk archtop født på ny, designet med tanke på moderne guitarister. ES-275 Custom hædrer Gibsons lange tradition med enestående jazzguitarer både udseende-, lyd-, og følelsesmæssig, og giver guitarister inden for alle genrer et tidløst instrument med egenskaber som gribebræt af Rosewood, thinline-krop med single-cutaway og god tilgang til de høje bånd. ’Milk Bottle’ rotomatic-stemmeskruer og ABR-1 bro med titansadler som sørger for nøjagtig intonation og stemmestabilitet. Hand-wired Orange Drop-kondensatorer, 550K matchede potter og MHS Humbucker pickupper sørger for at Gibson ES-275 lyder fantastisk.

Specifikationer
Top: 3-lags ahorn/poppel/ahorn
Bund: 3-lags ahorn/poppel/ahorn
Bracing: Quarter Sawn Adirondack Spruce
Bindinger: Multi-ply
Hals: Quarter Sawn Mahogany
Halsprofil: Rounded ”C”, Rolled Binding
Gribebræt: Mørk Rosewood
Indlæg: Mother of Pearl Full Block
Oversadelbredde: 1.687”
Skala: 24.75”
Bånd: 22
Hardware: Guldfinish
Bro: ABR-1 med titansadler og rosewood stol
Tailpiece: Three Bar Archtop
Stemmeskruer: Grover 'Milk Bottle' Rotomatics
Halspickup: MHS Humbucker Rhythm
Bropickup: MHS Humbucker Lead
Kontroller: 2 volum, 2 tone, 3-vejs switch
Inkl. Hardshell Case","es-275-custom-2018-ebony.jpeg",29719,0,3,1,1,"2023-10-17 07:38:54","2023-10-17 07:38:54"
4,531147,"Les Paul Standard 2018 Left Hand Blood Orange Burst","les_paul_standard_2018_left_hand_blood_orange_burst","El-guitar venstrehåndet med mahognikrop og AAA flammet ahorntop, mahognihals med Rosewood gribebræt og Burstbucker Pro pickupper. Inkl. kasse.","El-guitar venstrehåndet med mahognikrop og AAA flammet ahorntop, mahognihals med Rosewood gribebræt og Burstbucker Pro pickupper. Inkl. kasse.
Les Paul Standard 2018 kan skilte med “Ultra-Modern” vægtreduktion, en flot AAA-Grade flammet ahorntop, Assymetrical Slim Taper-halsprofil med gribebræt med compound radius og “cryogenic” båndbehandling ved ekstremt lave temperaturer. Alle volume- og tonekontroller er push-pull, og tilbyder coil tap på begge pickupper, pure bypass og phase reverse. Les Paul Standard T 2017 er udstyret med opgraderede PAF-inspirerede Burstbucker Pro Rhythm og Lead pickupper og Locking Kidney låsbare stemmeskruer. 

Gibson's 2018 modeller leveres med ""cryogenically treated frets"", hvor alle bånd behandles ved meget lave temperaturer (lavere end -185 ℃) for at modstå mere slid end normalt. De føles nøjagtigt som traditionelle bånd, men tåler meget mere. Modellerne, der ikke inkluderer guitarkasse, leveres i en polstret blød taske, der erstatter tidligere gigbag-design. HP-modellerne har opgraderede og hurtigere G-FORCE systemer, og Gibson 2018 præsenterer også helt nye farver som Cobalt Burst, Mojave Burst, Blood Orange Burst og Autumn Shade.

Specifikationer
Model: Lefthand
Top: AAA flammet ahorn
Krop: Mahogni
Finish: Gloss Nitrocellulose
Vægtreduktion: Ultra-Modern
Bindinger: Cream
Hals: Mahogni
Halsprofil: Asymmetrical Slim Taper
Sadelbredde: 1.695”
Gribebræt: Rosewood med Compound Radius
Bånd: 22 Medium (behandlet ved meget lav temperatur),
Mensur/skalalengde: 24.75”
Oversadel: Tektoid
Bro: Tune-O-Matic med StopBar tailpiece (aluminium)
Stemmeskruer: Locking Kidney
Hardware: Krom
Pickupper: 2 x Burstbucker
Kontroller: 2 x volume, 2 x tone, 3-vejs switch, 4 x Push-pull (coil-tap, pure bypass, phase)
Inkl. Gibson-kasse, Gibson USA multiværktøj, rem, pudseklud, ekstra strengesæt og fret protector","les-paul-standard-2018-left-hand-blood-orange-burst.jpeg",19379,0,1,1,1,"2023-10-17 07:38:54","2023-10-17 07:38:54"
5,591580,"American Performer Telecaster, MN Vintage White","american_performer_telecaster,_mn_vintage_white","El-guitar med krop af el, ahornhals med Modern ""C""-profil og gribebræt af ahorn, Yosemite Single-Coil Tele pickupper, og Greasebucket Tone Circuit. Inkl. Deluxe gigbag.","El-guitar med krop af el, ahornhals med Modern ""C""-profil og gribebræt af ahorn, Yosemite Single-Coil Tele pickupper, og Greasebucket Tone Circuit. Inkl. Deluxe gigbag.
Fender American Performer-serien erstatter American Special, og er dermed Fenders billigste Amerika producerede serie. American Performer er kvalitets instrumenter som ikke koster det vilde, og består af kendte Fender-klassikere som bl.a. Telecaster, Stratocaster, Jazzmaster og Mustang.

American Performer-modellerne har matlakeret hals og Modern “C”-profil. Modellerne er også udstyret med Yosemite og DoubleTap pickupper, med voicing som matcher hver enkelt model og pickup position. Et Greasebucket Tone System lader dig dæmpe diskanten uden tab af gain. Leveres i Fender Deluxe Gigbag. En ægte Fender fra Corona, California!

Specifikationer
Kropsmateriale: Elletræ gloss polyuretan finish
Kropsform: Telecaster
Halsmateriale: Ahorn, satin finish
Halsprofil: Modern “C”
Gribebræt: Ahorn, 9.5"" radius (241 mm)
Oversadel: Syntetisk ben
Oversadelbredde: 1.650” (42 mm)
Indlægg i gribebræt: Sorte “dots”
Truss Rod: Standard, ⅛” American Series
Antal bånd: 22
Bånd: Jumbo
Skalalængde: 25.5” (648 mm)
Bropickup: Yosemite Single-Coil Telecaster
Halspickup: Yosemite Single-Coil Telecaster
Kontroller: Master Vol, Master Tone, Greasebucket Tone Circuit, 3-vejs switch
Bro: 3-Saddle Strings-Thru-Body Tele
Stemmeskruer: Fender Classic Gear
Knapper: Knurled Flat-Top
Neck Plate: 4-Bolt
Hardware: Nikkel/krom
Inkl. Deluxe Gig Bag","american-performer-telecaster-mn-vintage-white.jpeg",8949,0,8,2,1,"2023-10-17 07:38:54","2023-10-17 07:38:54"
6,551223,"Eric Johnson Signature Stratocaster Thinline 2-Color Sunburst","eric_johnson_signature_stratocaster_thinline_2-color_sunburst","El-guitar Eric Johnsom signaturmodel, Semi-hollowbody med F-hul, krop af el, ahornhals med Soft ""V""-profil, gribebræt af ahorn, 3 x Eric Johnson Single-Coil pickupper og nitrolak. Inkl. Deluxe Blonde Hardhell case.","El-guitar Eric Johnsom signaturmodel, Semi-hollowbody med F-hul, krop af el, ahornhals med Soft ""V""-profil, gribebræt af ahorn, 3 x Eric Johnson Single-Coil pickupper og nitrolak. Inkl. Deluxe Blonde Hardhell case.
Eric Johnson Signature Stratocaster Thinline er en semi-hollow Stratocaster med krop af elletræ. Denne model, med lav vægt og det distinkte F-hul, er signaturmodellen til Eric Johnson, og er resultatet af to års samarbejde mellem ham og Fender. Målet var at udvikle en el-guitar i skæringspunktet mellem hans egen strat og personlige favoritter med semi-hollow konstruktion, som giver lyden en helt anden grad af luft og resonans.



Modellen er udstyret med custom Eric Johnson single-coil pickupper, skabt af R&D hos Fender for optimalt at kunne reproducere sounden til Eric Johnson. Sættet kombinerer Alnico 3 og 5-magneter, og har en noget hottere pickup ved broen.

Ahornhalsen har “Soft V”-profil som er en afrundet, men alligevel fyldig, V-hals. Gribebrættet er af ahorn, og har 12” radius. Vintage-style tremolo uden dæksel på baksiden, nitrocelluloselak. Leveres i custom hardcase.

Highlights
Konstruktion: Semi-hollowbody
Kropsform: Stratocaster
Krop: El
Finish krop/hals: Gloss Nitrocellulose
Hals: Ahorn
Halsprofil: Soft “V”
Gribebræt: Ahorn
Bånd: 21 Medium Jumbo
Indlæg i gribebræt: Dot, sorte
Radius: 12” (305 mm)
Oversadel: 1.650” (42 mm), ben
Truss Rod/nut: Vintage-Style Slotted
Mensur/skala: 25.5"" (648 mm)
Pickupper: 3 x Specially Voiced Eric Johnson Single-Coil with Countersunk Mounting Screws
Kontroller: Master Volume, Tone 1, Tone 2, 5-veis switch
Bro: 6-Saddle Vintage-Style Synchronized Tremolo
Stemmeskruer: Vintage-Style Staggered
Hardware: Nikkel/krom
Strenge: Fender USA, NPS, (.010-.046 Gauges)
Inkl. Deluxe Blonde Hardshell case
","eric-johnson-signature-stratocaster-thinline-2-color-sunburst.jpeg",18649,17999,6,2,1,"2023-10-17 07:38:54","2023-10-17 07:38:54"
7,576745,"Slash Firebird Premium Outfit","slash_firebird_premium_outfit","El-guitar Limited edition Slash Firebird signatur, kun 100 stk. worldwide med Seymour Duncan pickupper.","El-guitar Limited edition Slash Firebird signatur, kun 100 stk. worldwide med Seymour Duncan pickupper.
Epiphone præsenterer en Limited edition Slash Firebird, guitaren er designet af legenden selv og der bliver kun lavet ialt 100 stk. worldwide. Hver af dem bliver personligt nummereret og signeret af Slash, der medfølger desuden Hard case med Slash´s ""Skull & bones"" logo. Guitaren har AAA flammet ahorn top og er monteret med Seymour Duncan Slash pickupper.

Specifikationer
kun 100 stk. worldwide
Skull & Bones logo Hard Case
Seymour Duncan Slash open coil humbuckers
Mahogni krop og hals
Ahorn top
Pau Ferro gribebrædt
Orange drop capacitors
ABR Tune-o-matic and Stopbar","slash-firebird-premium-outfit.jpeg",9949,0,3,3,1,"2023-10-17 07:38:54","2023-10-17 07:38:54"
8,566633,"Sheraton-II PRO CF Wine Red","sheraton-ii_pro_cf_wine_red","El-guitar Semi-hollowbody med krop af ahorn, hals af ahorn/valnød, gribebræt af pau ferro med pearloid- og abaloneindlæg og 2 stk. ProBucker humbucker pickupper.","El-guitar Semi-hollowbody med krop af ahorn, hals af ahorn/valnød, gribebræt af pau ferro med pearloid- og abaloneindlæg og 2 stk. ProBucker humbucker pickupper.
Epiphone Sheraton-II PRO har Epiphones berømte thinline semi-hollowbody electric archtop, og har nu fået utroligt smukke ProBucker pickups med coil-split og Graphtech NuBone XL-sadel. Guitaren fejres af blueslegenden John Lee Hooker og er blevet anerkendt for kombinationen af fantastisk lyd og smukke pearloide og abalone indlæg. Originalen blev så dagens lys i 1959, inspireret af Les Pauls første solidbody - ""The Log"", som Les byggede på Epiphone fabrikken på Manhattan allerede i 1940.

John Lee Hooker beskrev den originale Sheraton-model som en ""out-did 335"", med tanke på de utroligt flotte halsindlæg, den klassiske form, elegante elfenbensbindinger på krop, hals og hoved, og F-hullerne. Den nye Sheraton II har samme profil og er lavet af lamineret ahorn toppet med plekterplade med Epiphones signatur ""E"" og klassiske bindinger.

Epiphone Sheraton-II Pro er udstyret med ProBucker-2 i halsposition og en noget hottere ProBucker-3 i broposition. Begge pickupper har coil-split via individuelle volumekontroller. Coil-splitting gør det muligt at lave en humbucker om til en single-coil, og på den måde åbne op for flere tonale muligheder.","sheraton-II-pro-cf-wine-red.jpeg",5612,0,12,3,1,"2023-10-17 07:38:54","2023-10-17 07:38:54"
9,302744,"John 5 Telecaster Frost Gold","john_5_telecaster_frost_gold","El-guitar med krop af elletræ, ahornhals med gribebræt af rosentræ og to custom humbucker pickupper.","El-guitar med krop af elletræ, ahornhals med gribebræt af rosentræ og to custom humbucker pickupper.
Shredder og riffmester John 5 har nu lagt en Squier-model til sine Fender signature-modeller. Med elletræskrop, custompickupper, matching headstock og slagplade af børstet stål får du en utroligt lækker og velspillende spade til meget få penge. 

Specifikationer 
Body: Alder
Finish: Polyester Finish
Neck: 1-Piece Maple, Modern “C"" Shape, (Gloss Polyester Finish)
Fingerboard: Rosewood 12"" Radius (305mm)
Frets: 22, Medium Jumbo
Scale Length: 25.5"" (648 mm)
Nut Width: 1.650"" (42 mm)
Hardware: Chrome
Tuning Keys: Die-Cast Tuners
Bridge: Tele 6-Saddle Bridge for Humbucking Pickup
Pickguard: Polished Stainless Steel Pickguard
Pickups:
Neck: Custom Humbucking Pickup; AlNiCo II Magnet 
Bridge: Custom Humbucking Pickup; Ceramic Magnet 
3-Position Toggle:
Position 1. Bridge Pickup 
Position 2. Bridge and Neck Pickups 
Position 3. Neck Pickup 
Controls Volume (Bridge Pickup), Volume (Neck Pickup)
Fender Super 250L, (.009 to .042) Nickel Plated Steel
“C"" Shape Maple Neck, Matching Black Painted Headstock,
Bound Top and Back, Toggle Switch Mounted on Upper 
Bout, Chrome Switch Tip, Front Volume Control for Bridge 
Pickup, Rear Volume Control for Neck Pickup, Polished 
Stainless Steel Pickguard, White Dot Position Inlays, Silver 
Squier Logo, Synthetic Bone Nut","john-5-telecaster-frost-gold.jpeg",3499,0,14,4,1,"2023-10-17 07:38:54","2023-10-17 07:38:54"
10,31625,"Affinity Stratocaster MN Black","affinity_stratocaster_mn_black","El-guitar med krop af elletræ, ahornhals, tremolo, 3 singlecoil pickupper og chrome hardware.","El-guitar med krop af elletræ, ahornhals, tremolo, 3 singlecoil pickupper og chrome hardware.
Man skal lede længe efter en bedre deal på en Stratocaster. Med 1960´er hoved, tre singlecoil-pickupper og standard tremolosystem har denne Affinity-serie den helt rigtige vintage feel til den helt rigtige pris. 

Specifikationer Squier Affinity Stratocaster
Krop af elletræ
C-shape ahornhals
Rosentræsgribebræt 9,5"" profil
21 medium jumbobånd
3 Strat singlecoil pickupper
Kontroller: Master volume, tone 1 bridgepickup, tone 2 neckpickup
5-vejs pickupswitch
Synchronous tremolo
Fender støbte, lukkede mekanikker
Krom hardware
1-lags slagplade
Monteret med Fender Super 250L strenge 009-042","affinity-stratocaster-mn-black.jpeg",1499,0,11,4,1,"2023-10-17 07:38:54","2023-10-17 07:38:54"
